iter	Passed	Remaining
0	163	163286
1	165	82513
2	166	55411
3	167	41829
4	169	33749
5	171	28380
6	172	24512
7	174	21618
8	176	19414
9	178	17673
10	180	16234
11	182	15022
12	184	13985
13	185	13096
14	187	12342
15	190	11694
16	192	11122
17	194	10600
18	196	10123
19	197	9699
20	199	9303
21	201	8951
22	203	8624
23	204	8312
24	205	8030
25	207	7768
26	208	7530
27	209	7289
28	211	7091
29	214	6928
30	215	6748
31	216	6559
32	218	6398
33	219	6249
34	221	6111
35	223	5978
36	224	5832
37	225	5700
38	226	5575
39	227	5463
40	228	5345
41	229	5227
42	230	5125
43	231	5031
44	232	4935
45	233	4839
46	234	4754
47	235	4666
48	236	4580
49	236	4500
50	237	4426
51	238	4356
52	239	4286
53	240	4215
54	241	4150
55	242	4086
56	243	4024
57	244	3964
58	244	3905
59	245	3847
60	246	3791
61	247	3737
62	247	3684
63	248	3633
64	249	3583
65	249	3534
66	250	3487
67	250	3436
68	251	3392
69	251	3347
70	252	3304
71	253	3262
72	253	3222
73	254	3182
74	254	3143
75	255	3104
76	255	3068
77	256	3031
78	257	2997
79	257	2963
80	258	2929
81	258	2896
82	259	2865
83	260	2835
84	260	2803
85	260	2773
86	261	2742
87	261	2714
88	262	2686
89	263	2660
90	263	2634
91	264	2608
92	264	2582
93	265	2558
94	265	2533
95	266	2509
96	267	2486
97	267	2463
98	268	2441
99	268	2419
100	269	2398
101	269	2374
102	270	2353
103	270	2333
104	271	2313
105	271	2293
106	272	2274
107	273	2255
108	273	2236
109	274	2218
110	274	2201
111	275	2184
112	275	2166
113	276	2149
114	277	2132
115	277	2115
116	278	2099
117	278	2083
118	279	2066
119	279	2051
120	280	2036
121	280	2021
122	281	2004
123	281	1991
124	282	1977
125	283	1964
126	283	1951
127	284	1936
128	284	1923
129	285	1910
130	285	1896
131	286	1884
132	287	1871
133	287	1859
134	288	1846
135	288	1834
136	289	1822
137	289	1810
138	290	1798
139	290	1787
140	291	1776
141	292	1765
142	292	1753
143	293	1742
144	293	1732
145	294	1721
146	294	1711
147	295	1701
148	296	1691
149	296	1681
150	297	1671
151	297	1662
152	298	1652
153	299	1642
154	299	1633
155	300	1623
156	300	1614
157	301	1605
158	301	1596
159	302	1587
160	302	1578
161	303	1569
162	303	1560
163	304	1552
164	305	1544
165	305	1535
166	306	1527
167	306	1519
168	307	1511
169	307	1503
170	308	1495
171	309	1487
172	309	1479
173	310	1472
174	310	1464
175	311	1457
