iter	Passed	Remaining
0	132	132749
1	134	67265
2	136	45464
3	138	34538
4	141	28205
5	143	23782
6	145	20615
7	147	18247
8	148	16401
9	150	14914
10	152	13750
11	156	12869
12	158	12029
13	159	11213
14	160	10564
15	162	9989
16	164	9490
17	165	9005
18	166	8603
19	168	8269
20	170	7957
21	172	7662
22	173	7376
23	175	7118
24	176	6871
25	177	6652
26	178	6432
27	179	6244
28	180	6054
29	182	5913
30	184	5767
31	185	5613
32	186	5463
33	187	5324
34	188	5189
35	189	5067
36	190	4956
37	191	4847
38	192	4742
39	193	4644
40	194	4548
41	195	4452
42	196	4369
43	197	4293
44	198	4216
45	199	4144
46	200	4070
47	201	3996
48	202	3925
49	203	3857
50	203	3793
51	204	3732
52	205	3672
53	206	3614
54	207	3557
55	207	3503
56	208	3450
57	209	3399
58	210	3350
59	210	3302
60	211	3258
61	212	3214
62	213	3172
63	214	3131
64	214	3091
65	215	3051
66	216	3012
67	216	2973
68	217	2934
69	218	2897
70	218	2860
71	219	2825
72	219	2790
73	220	2756
74	220	2723
75	221	2692
76	222	2661
77	222	2631
78	223	2602
79	223	2573
80	224	2545
81	224	2517
82	225	2487
83	225	2462
84	226	2436
85	227	2413
86	227	2392
87	228	2369
88	229	2348
89	229	2325
90	230	2303
91	231	2281
92	231	2260
93	232	2239
94	232	2218
95	233	2198
96	233	2178
97	234	2158
98	235	2139
99	235	2120
100	236	2102
101	236	2084
102	237	2067
103	237	2050
104	238	2033
105	239	2016
106	239	2000
107	240	1984
108	240	1968
109	241	1953
110	242	1939
111	242	1925
112	243	1911
113	244	1896
114	244	1882
115	245	1868
116	245	1854
117	246	1840
118	246	1827
119	247	1814
120	247	1801
121	248	1787
122	248	1775
123	249	1763
124	250	1750
125	250	1739
126	251	1726
127	251	1715
128	252	1704
129	253	1693
130	253	1682
131	254	1671
132	254	1660
133	255	1650
134	255	1639
135	256	1629
136	257	1620
137	258	1611
138	258	1603
139	259	1594
140	260	1585
141	260	1574
142	261	1565
143	261	1556
144	262	1547
145	262	1538
146	263	1529
147	264	1521
148	264	1513
149	265	1504
150	266	1496
151	266	1488
152	267	1479
153	267	1471
154	268	1463
155	269	1455
156	269	1447
157	270	1439
158	270	1431
159	271	1424
160	271	1415
161	272	1408
162	273	1401
163	273	1396
164	274	1390
165	275	1384
166	276	1377
167	276	1370
168	277	1363
169	277	1356
170	278	1349
171	279	1343
172	279	1336
173	280	1330
174	280	1323
175	281	1317
176	281	1310
177	282	1304
178	283	1298
179	283	1292
180	284	1286
181	284	1280
182	285	1274
183	285	1268
184	286	1262
185	287	1256
186	287	1250
187	288	1245
188	289	1240
189	289	1235
190	290	1229
191	290	1224
192	291	1219
193	292	1213
194	292	1208
195	293	1203
196	293	1198
197	294	1192
198	295	1187
199	295	1182
200	296	1177
201	296	1172
202	297	1167
203	297	1162
204	298	1157
205	299	1152
206	299	1148
207	300	1143
208	300	1138
209	301	1133
210	301	1129
211	302	1124
212	303	1120
213	304	1117
214	304	1113
215	305	1109
216	306	1105
217	306	1101
218	307	1097
219	308	1093
220	309	1089
221	309	1086
222	310	1081
223	311	1077
224	311	1073
225	312	1069
226	312	1065
227	313	1061
228	314	1057
229	314	1053
230	315	1049
231	316	1046
232	316	1042
233	317	1038
234	317	1034
235	318	1031
236	319	1027
237	319	1024
238	320	1020
239	321	1017
240	322	1014
241	322	1011
242	323	1007
243	323	1003
244	324	1000
245	325	996
246	325	993
247	326	989
248	326	985
249	327	982
250	328	978
251	328	975
252	329	971
253	329	968
254	330	964
255	330	961
256	331	958
257	332	954
258	332	951
259	333	948
260	333	945
261	334	942
262	335	939
263	335	936
264	336	933
265	337	930
266	337	927
267	338	924
268	339	921
269	339	918
270	340	915
271	340	911
272	341	908
273	341	905
274	342	902
275	342	899
276	343	896
277	344	893
278	344	890
279	345	888
280	345	885
281	346	882
282	347	879
283	347	876
284	348	873
285	348	871
286	349	868
287	350	866
288	351	863
289	351	860
290	352	858
291	352	855
292	353	852
293	353	849
294	354	847
295	355	844
296	355	841
297	356	839
298	356	836
299	357	833
300	358	831
301	358	828
302	359	826
303	359	823
304	360	821
305	361	818
306	361	816
307	362	813
308	362	811
309	363	808
310	364	806
311	364	804
312	365	802
313	366	799
314	366	797
315	367	795
316	367	792
317	368	790
318	369	787
319	369	785
320	370	783
321	370	780
322	371	778
323	371	776
324	372	773
325	373	771
326	373	769
327	374	766
328	374	764
329	375	762
330	376	759
331	376	757
332	377	755
333	377	753
334	378	751
335	378	748
336	379	746
337	380	744
338	380	742
339	381	740
340	382	738
341	382	736
342	383	734
343	383	732
344	384	729
345	385	727
346	385	725
347	386	723
348	386	721
349	387	719
350	387	717
351	388	715
352	389	713
353	389	710
